prct_cause_infra,retard_moyen_trains_retard_sup15,retard_moyen_tous_trains_arrivee,prct_cause_externe,nb_train_prevu,prct_cause_gestion_trafic,nb_train_retard_arrivee,nb_train_retard_sup_15,nb_annulation,prct_cause_prise_en_charge_voyageurs,gare_arrivee,retard_moyen_arrivee,nb_train_retard_sup_30,nb_train_retard_sup_60,service,nb_train_depart_retard,commentaires_retard_arrivee,prct_cause_gestion_gare,date,gare_depart,duree_moyenne,retard_moyen_depart,retard_moyen_tous_trains_depart,prct_cause_materiel_roulant
15.78947368,2.206152648,2.206152648,3.50877193,430,22.80701754,60,23,2,1.754385965,LILLE,16.59,8,0,National,66,,5.263157895,2018-08,PARIS NORD,64,11.44318182,1.620521807,50.87719298
26.13636364,13.41950758,13.41950758,14.77272727,268,25.0,90,82,4,6.818181818,LILLE,32.95888889,34,9,National,179,"Pendant les deux premières semaines d’août, les fortes chaleurs ont continué de perturber le plan de transport, 

Les évènements liés au Matériel sont globalement divisés en trois parties: le motif « soin engin » pour 2,2% points (incidents bogies, radio, frein ,etc.), le motif « produit train » ou mises à quai tardives pour 1,7 % point, phénomène directement lié à la tension du parc, et enfin les « autres incidents » pour 0,8% point (incident veille automatique en ligne par exemple).
Pour le Matériel, le vendredi 31 août est une journée significative car une quinzaine de trains de la radiale et antenne ont été concernés, soit par des pannes ou des mises à disposition tardives en gare.
En ce qui concerne Réseau avec les dérangements, on peut relever l’incident « manque tension » de Combles le vendredi 24 (5 Tgv concernés pour 54 minutes), car la cause est toujours analysée aujourd’hui côté INE, aussi l’incident à Arras le mardi 28 avec une éclisse et JIC (joint isolant collé) fissurés, incident qui a concerné 6 Tgv pour 63 minutes perdues à l’entrée de la LGV (passage en voie banalisée pour certains trains et retards à la clé).
Le domaine de l’irrégularité pour les autres transporteurs concerne en particulier TER, avec notamment l’évènement secours pour le 843705 du vendredi 17 août à Roeux qui a concerné 11 tgv pour 175 minutes perdues.",9.090909091,2018-08,LYON PART DIEU,187,14.416946,9.869318182,18.18181818
30.23255814,11.17222222,11.17222222,13.95348837,174,23.25581395,43,43,3,4.651162791,LILLE,35.06007752,15,5,National,62,"Pendant les deux premières semaines d’août, les fortes chaleurs ont continué de perturber le plan de transport, 

Les évènements liés au Matériel sont globalement divisés en trois parties: le motif « soin engin » pour 2,2% points (incidents bogies, radio, frein ,etc.), le motif « produit train » ou mises à quai tardives pour 1,7 % point, phénomène directement lié à la tension du parc, et enfin les « autres incidents » pour 0,8% point (incident veille automatique en ligne par exemple).
Pour le Matériel, le vendredi 31 août est une journée significative car une quinzaine de trains de la radiale et antenne ont été concernés, soit par des pannes ou des mises à disposition tardives en gare.
En ce qui concerne Réseau avec les dérangements, on peut relever l’incident « manque tension » de Combles le vendredi 24 (5 Tgv concernés pour 54 minutes), car la cause est toujours analysée aujourd’hui côté INE, aussi l’incident à Arras le mardi 28 avec une éclisse et JIC (joint isolant collé) fissurés, incident qui a concerné 6 Tgv pour 63 minutes perdues à l’entrée de la LGV (passage en voie banalisée pour certains trains et retards à la clé).
Le domaine de l’irrégularité pour les autres transporteurs concerne en particulier TER, avec notamment l’évènement secours pour le 843705 du vendredi 17 août à Roeux qui a concerné 11 tgv pour 175 minutes perdues.",11.62790698,2018-08,MARSEILLE ST CHARLES,310,10.88145161,3.90165692,16.27906977
15.48387097,9.568372943,9.603486239,20.64516129,564,29.03225806,162,87,19,1.935483871,LILLE,28.79002058,47,17,National,145,"le domaine « extérieur infra » pour l’irrégularité a atteint un sommet avec quasiment 7 points, on relève deux accidents de personne en début de mois : d’une part sur le secteur Nord à Hattencourt (mercredi 04) et le secteur Sud est à Lyon Part Dieu (jeudi 05) d’autre part. Pour l’évènement d’Hattencourt avec l’Eurostar 9031, la circulation normale des trains a repris après 05h30 d’interruption totale. Pour ce même domaine côté infra il s’agit de multiples causes d’incendies ou orages violents dans le Sud Est.
Les causes dérangements sont aussi nombreuses (4,7%) , avec en évènements marquants les défauts de géométrie de voie (passage rame contrôle IRIS) et surtout les dérangements d’installations de signalisation (zones, aiguilles, etc.).
Le Matériel prend une part importante pour l’irrégularité avec 5,2 points. Plusieurs fois le motif « tension parc » a été relevé avec des retards plus ou moins importants, voire des suppressions de trains. Les chantiers du Landy et Forest ont peiné à servir le plan de transport journalier. Les « soins engins » représentent la dominante des causes : application guide de dépannage avec ou sans  l’appui du PAC (Pôle d’appui conduite), incidents du frein, insuffisance traction, disjoncteurs défaillants, incidents portes, climatisations hs, détections alarmes incendie,… 

Dérangement infra et PN en RO : 10 tgv concernés
Défaillance €* à Fresnoy : 27 tgv concernés
Accident personne à Lyon Part Dieu :  10 tgv concernés
Dérangement zone à Pierrefitte : 31 tgv concernés avec 7550 et 7049 via Roissy.",5.161290323,2018-07,PARIS NORD,62,19.16632184,5.033944954,27.74193548
18.3908046,20.78553114,20.78553114,24.13793103,190,40.22988506,89,89,8,9.195402299,LILLE,38.07359551,37,11,National,52,"le domaine « extérieur infra » pour l’irrégularité a atteint un sommet avec quasiment 7 points, on relève deux accidents de personne en début de mois : d’une part sur le secteur Nord à Hattencourt (mercredi 04) et le secteur Sud est à Lyon Part Dieu (jeudi 05) d’autre part. Pour l’évènement d’Hattencourt avec l’Eurostar 9031, la circulation normale des trains a repris après 05h30 d’interruption totale. Pour ce même domaine côté infra il s’agit de multiples causes d’incendies ou orages violents dans le Sud Est.
Les causes dérangements sont aussi nombreuses (4,7%) , avec en évènements marquants les défauts de géométrie de voie (passage rame contrôle IRIS) et surtout les dérangements d’installations de signalisation (zones, aiguilles, etc.).
Le Matériel prend une part importante pour l’irrégularité avec 5,2 points. Plusieurs fois le motif « tension parc » a été relevé avec des retards plus ou moins importants, voire des suppressions de trains. Les chantiers du Landy et Forest ont peiné à servir le plan de transport journalier. Les « soins engins » représentent la dominante des causes : application guide de dépannage avec ou sans  l’appui du PAC (Pôle d’appui conduite), incidents du frein, insuffisance traction, disjoncteurs défaillants, incidents portes, climatisations hs, détections alarmes incendie,… 
Dérangement infra et PN en RO : 10 tgv concernés
Défaillance €* à Fresnoy : 27 tgv concernés
Accident personne à Lyon Part Dieu :  10 tgv concernés
Dérangement zone à Pierrefitte : 31 tgv concernés avec 7550 et 7049 via Roissy.",1.149425287,2018-07,MARSEILLE ST CHARLES,304,11.24038462,3.20540293,6.896551724
17.1641791,19.66041667,19.66041667,20.89552239,285,37.31343284,136,124,13,8.208955224,LILLE,34.73308824,51,15,National,233,"le domaine « extérieur infra » pour l’irrégularité a atteint un sommet avec quasiment 7 points, on relève deux accidents de personne en début de mois : d’une part sur le secteur Nord à Hattencourt (mercredi 04) et le secteur Sud est à Lyon Part Dieu (jeudi 05) d’autre part. Pour l’évènement d’Hattencourt avec l’Eurostar 9031, la circulation normale des trains a repris après 05h30 d’interruption totale. Pour ce même domaine côté infra il s’agit de multiples causes d’incendies ou orages violents dans le Sud Est.
Les causes dérangements sont aussi nombreuses (4,7%) , avec en évènements marquants les défauts de géométrie de voie (passage rame contrôle IRIS) et surtout les dérangements d’installations de signalisation (zones, aiguilles, etc.).
Le Matériel prend une part importante pour l’irrégularité avec 5,2 points. Plusieurs fois le motif « tension parc » a été relevé avec des retards plus ou moins importants, voire des suppressions de trains. Les chantiers du Landy et Forest ont peiné à servir le plan de transport journalier. Les « soins engins » représentent la dominante des causes : application guide de dépannage avec ou sans  l’appui du PAC (Pôle d’appui conduite), incidents du frein, insuffisance traction, disjoncteurs défaillants, incidents portes, climatisations hs, détections alarmes incendie,…",4.47761194,2018-07,LYON PART DIEU,187,13.48462089,11.60606618,11.94029851
23.40425532,13.38557692,13.38557692,40.42553191,187,4.255319149,49,49,31,6.382978723,LILLE,33.00306122,20,4,National,16,,6.382978723,2018-06,MARSEILLE ST CHARLES,302,16.62291667,1.976709402,19.14893617
19.82758621,5.506970208,5.506970208,21.55172414,717,35.34482759,123,45,124,3.448275862,LILLE,20.75826558,27,8,National,62,,3.448275862,2018-06,PARIS NORD,62,26.50591398,3.14213041,16.37931034
26.43678161,13.50795107,13.50795107,27.5862069,300,14.94252874,91,65,82,6.896551724,LILLE,27.7540293,28,6,National,121,,8.045977011,2018-06,LYON PART DIEU,187,15.95991736,9.777522936,16.09195402
18.91891892,7.95359408,7.95359408,40.54054054,697,23.42342342,116,46,224,1.801801802,LILLE,29.29612069,32,18,National,64,,5.405405405,2018-05,PARIS NORD,61,32.62734375,4.634073291,9.90990991
